transaction_id,sender_id,recipient_id,transaction_type,amount,location,payment_method,sender_iban,recipient_iban,balance_after,description,timestamp
02e82081-8035-4df2-b0f0-32d9900291f0,EMP24643,LVSA-CRLN-804-MOR-1,transfer,1334.88,,,IT19A8324491581577293424901181,FR98C1937370567396877385356,4893.47,Salary payment Jan,2087-01-01T09:05:09
6b59da05-2712-4222-b549-918424f765a7,RYND-SYLV-800-PAR-0,EXT60132,transfer,509.56,,,FR13Q5529739704943011385252,IT15X9011813708956678675954223,8255.78,Rent payment Jan - Property Management Paris,2087-01-01T11:01:34
60f08de4-4405-4c3d-91cb-6a839c35bf42,EMP54737,LLNA-KVNE-7D4-WAS-1,transfer,3142.77,,,IT46Q3572732074759424189124664,US26B8842265516615582406875,14382.48,Salary payment Jan,2087-01-01T14:20:25
b8a0823d-9565-4c63-8c58-e4d7535f7318,EMP18623,VDLI-NÈSI-7FB-PAR-1,transfer,4840.95,,,IT23V1504879255043546156646452,FR15O3291327632718190830953,22236.78,Salary payment Jan,2087-01-02T10:00:38
ab0130d4-20b9-42a9-b7c3-68a1e20d404d,EMP65436,SMPS-RNAA-80B-POR-0,transfer,2097.0,,,IT31N3922899360615742201146198,US17F3815676304930874610086,11100.78,Salary payment Jan,2087-01-02T13:46:27
a55fd49b-73e0-4a06-9f84-139ea3f35fba,EMP68436,LNAE-PTRC-807-NAS-0,transfer,1643.53,,,IT88L8905819471835140137426004,US21N2449956360184486148391,10610.94,Salary payment Jan,2087-01-02T14:29:31
15419990-a9cb-42f6-820f-5edc7af69e57,EMP80570,HRDY-LXAE-7D7-PAR-0,transfer,2553.23,,,IT67V1845063011055978718901713,FR81L7978254927639923612174,21104.52,Salary payment Jan,2087-01-02T15:51:28
9b2d6846-bb20-4452-a36f-0cbcb6e0e836,LNAE-PTRC-807-NAS-0,EXT60132,transfer,583.75,,,US21N2449956360184486148391,IT15X9011813708956678675954223,10027.19,Rent payment Jan - Property Management Nashville,2087-01-02T16:07:22
e1e14cba-51fc-49d8-a5ac-235ef8dcc571,EMP87393,RYND-SYLV-800-PAR-0,transfer,1503.66,,,IT15E4374119164339475672289538,FR13Q5529739704943011385252,9759.44,Salary payment Jan,2087-01-02T16:42:55
4200e1fb-88b0-4e35-8703-084d6837553e,LLNA-KVNE-7D4-WAS-1,APP60604,transfer,839.36,,,US26B8842265516615582406875,IT80Z4941408036578189240458564,13543.12,Rent payment Jan - Property Management Washington,2087-01-03T11:27:03
e8086f88-688c-4a00-9860-4021ddfb4cdf,EMP71691,FNTN-CLRA-7EA-LEB-0,transfer,15490.13,,,IT94T5919011863299095915103514,FR50O0412207415958582883658,128693.69,Salary payment Jan,2087-01-03T13:27:56
965c20de-0901-4a67-888b-69e36b09342b,DLRM-STÉP-810-MAR-0,RES54681,transfer,203.45,,,FR19P7924147871642721714480,IT23D6634390131214534953879513,2050.97,Rent payment Jan - Property Management Marmande,2087-01-03T13:39:53
924a0668-b1ff-485c-a096-709408e67ecf,EMP74482,HSRE-LBRC-803-EGG-1,transfer,2376.66,,,IT21Z9432879852161103520385750,DE66A7567510215108829077882,20915.39,Salary payment Jan,2087-01-03T15:36:47
8fc0d563-7c1c-441d-b6a2-ed276104b80c,EMP20717,TZLR-VLRJ-7E0-NOR-1,transfer,3086.97,,,IT74A7398395969286840460697666,DE71Z5051030941953592495890,10427.35,Salary payment Jan,2087-01-03T17:01:00
e8f3ace3-d56e-41bb-b910-c132f58e7e0f,EMP72108,FRRN-MMNL-802-AUB-0,transfer,1885.23,,,IT27F1311698808614696859040249,FR12T6312965410751132495571,9709.65,Salary payment Jan,2087-01-03T18:38:34
99b9e8bb-054c-4bf1-87d3-8387a7a1c440,VDLI-NÈSI-7FB-PAR-1,HOME24293,transfer,901.17,,,FR15O3291327632718190830953,IT96Y8609605987385430066724909,21335.61,Rent payment Jan - Property Management Paris,2087-01-03T18:50:53
c4a02156-bc31-47c5-84c8-da44e5799583,TZLR-VLRJ-7E0-NOR-1,HOME24293,transfer,965.68,,,DE71Z5051030941953592495890,IT96Y8609605987385430066724909,9461.67,Rent payment Jan - Property Management Nordhausen,2087-01-04T09:10:41
644b0162-6519-4ada-ac84-6c0fda5b8205,FRRN-MMNL-802-AUB-0,DOM52982,transfer,652.79,,,FR12T6312965410751132495571,IT58G4363973486150486231574767,9056.86,Rent payment Jan - Property Management Aubagne,2087-01-04T09:33:06
189074af-c1be-4851-8470-80590140cb5a,HSRE-LBRC-803-EGG-1,HOME15224,transfer,796.1,,,DE66A7567510215108829077882,IT57N1474738655242629208485167,20119.29,Rent payment Jan - Property Management Eggenstein-Leopoldshafen,2087-01-04T09:37:34
66e68b49-c49d-487a-82b1-c76995d39383,WLKN-GLAI-806-DUN-0,HOME24293,transfer,455.47,,,GB47A8815209647841954158911,IT96Y8609605987385430066724909,4732.15,Rent payment Jan - Property Management Dunbar,2087-01-04T09:49:19
16618ea5-5925-4f61-98ed-ffe7b885e54c,EMP13106,GRGE-LXND-80F-LAS-1,transfer,720.5,,,IT89C6746159644586643960090635,US43E4774588157739215559792,2282.26,Salary payment Jan,2087-01-04T10:17:49
d62d4a2f-fe80-488d-bf4a-cc522c81c666,CMNN-GLNI-80C-TEA-1,EXT60132,transfer,977.91,,,IT40K2688820227463728654822,IT15X9011813708956678675954223,12609.46,Rent payment Jan - Property Management Teano,2087-01-04T11:42:59
4e7a4ef7-6c9a-471c-80fa-49cebfdbd60f,EMP21151,WLKN-GLAI-806-DUN-0,transfer,1346.7,,,IT61Q7749401229963458705542963,GB47A8815209647841954158911,6078.85,Salary payment Jan,2087-01-04T12:20:22
b5602a92-7b85-4acc-96f4-4d778de415fc,KRNZ-TNIO-806-WOL-1,EXT60132,transfer,692.66,,,DE15M7815036943458995040884,IT15X9011813708956678675954223,9296.68,Rent payment Jan - Property Management Wolfratshausen,2087-01-04T13:13:14
469f08f1-8d86-4bc4-a1ac-0dddeaadd3ea,LVSA-CRLN-804-MOR-1,RES37379,transfer,493.57,,,FR98C1937370567396877385356,IT88G1791929636143423771386058,4399.9,Rent payment Jan - Property Management Morangis,2087-01-04T13:37:22
f9912613-6070-4ec9-97c2-1b839f8cead0,EMP92441,RLYI-NLEI-7FC-HAY-0,transfer,4332.12,,,IT77C7660265644855329708660309,GB75M7928194716635773422027,20339.1,Salary payment Jan,2087-01-04T15:02:21
25bfa41d-5e48-4d08-88f1-eaf0ba3f92ee,EMP87003,BCKM-MRNA-7FA-COL-1,transfer,6555.29,,,IT35Q5438760425729486493736826,DE27C9714313413265123021390,39526.42,Salary payment Jan,2087-01-04T15:39:52
ad12e42c-3724-4eff-8fcf-a70b3f4c3767,HRDY-LXAE-7D7-PAR-0,RES37379,transfer,759.24,,,FR81L7978254927639923612174,IT88G1791929636143423771386058,20345.28,Rent payment Jan - Property Management Paris,2087-01-04T15:46:57
6a959102-451a-43d9-8ddc-1f7f4ff1dc16,EMP18302,TZLD-NRUI-7FE-ERK-0,transfer,1839.7,,,IT94R2836306733505905477631569,DE18V5172001368596737222004,14791.89,Salary payment Jan,2087-01-04T16:33:39
fb22d579-bd9a-4811-b9fb-83a3e718e7b6,EMP29249,HWOE-MCHL-808-PHI-0,transfer,1220.0,,,IT17F2741223636002929414852042,US98T9764222692095241200697,4719.54,Salary payment Jan,2087-01-04T18:37:04
876c578b-a795-4ce1-ba8d-18b9b54ce561,FLRS-MLND-80B-LUB-1,RES37379,transfer,417.51,,,US89I4101878596353256080514,IT88G1791929636143423771386058,4486.99,Rent payment Jan - Property Management Lubbock,2087-01-05T09:15:19
d1e8bcf7-ee34-4415-8bc0-2723b281165b,EMP31157,TPAI-HNRY-7FB-PAR-1,transfer,7914.88,,,IT78S1867666600049763347285590,US96B2317990892214881178735,71387.68,Salary payment Jan,2087-01-05T09:38:30
3e9e8dcf-5b41-4806-a134-ea90b4f357cc,EMP54944,PGNT-SRGS-7FD-GIU-0,transfer,6949.43,,,IT48X8359826419273280556176099,IT56S5846454431124305092283,30401.19,Salary payment Jan,2087-01-05T11:18:02
e484e93c-5bfb-44a9-a979-cd952e23dfd5,FNTN-CLRA-7EA-LEB-0,EXT40692,transfer,3034.94,,,FR50O0412207415958582883658,IT25X9531939914515984375048960,125658.75,Rent payment Jan - Property Management Le Bouscat,2087-01-05T11:59:53
36ac710f-f5fc-4f9e-9812-c54f8acae7e0,RLYI-NLEI-7FC-HAY-0,EXT60132,transfer,1229.36,,,GB75M7928194716635773422027,IT15X9011813708956678675954223,19109.74,Rent payment Jan - Property Management Hayes,2087-01-05T12:00:40
4127fa03-5d9d-42a4-af57-bd4503aec1af,EMP55069,STKS-JNNO-7FE-COV-0,transfer,2687.79,,,IT37N9234804490533693837229341,GB25S6432172742335550596567,23411.89,Salary payment Jan,2087-01-05T12:06:18
3a22f560-571f-4bbc-a6d4-79d87d30336a,EMP32980,DVSA-BRND-80B-JAC-0,transfer,807.01,,,IT91Y4075195601996090681567700,US74S6718846374509486197944,7301.45,Salary payment Jan,2087-01-05T12:09:24
92e78adc-609b-4f0b-a26a-0e01c3824ece,EMP91324,CRGA-CRLN-801-POR-0,transfer,1684.73,,,IT52X5978223834268887713021608,GB32M2985404379554613832970,11861.13,Salary payment Jan,2087-01-05T12:20:22
41a43aac-7292-4704-acef-255245cb4e83,EMP61733,DLRM-STÉP-810-MAR-0,transfer,482.09,,,IT95L9629091140546691314900401,FR19P7924147871642721714480,2533.06,Salary payment Jan,2087-01-05T13:33:20
73d4e350-a842-4b0a-aba9-cbbb821eeb27,SMPS-RNAA-80B-POR-0,EXT98276,transfer,689.36,,,US17F3815676304930874610086,IT91Q9695829922067344591216173,10411.42,Rent payment Jan - Property Management Portland,2087-01-05T14:11:45
37515e9a-84ce-4402-8163-45675f295774,GRGE-LXND-80F-LAS-1,HOME15224,transfer,311.68,,,US43E4774588157739215559792,IT57N1474738655242629208485167,1970.58,Rent payment Jan - Property Management Las Vegas,2087-01-05T15:21:03
67926259-24a5-49ba-9a0b-beaba05f1a91,CRGA-CRLN-801-POR-0,EXT98276,transfer,554.55,,,GB32M2985404379554613832970,IT91Q9695829922067344591216173,11306.58,Rent payment Jan - Property Management Portsmouth,2087-01-05T17:43:27
e75bef95-5540-4386-9da1-412a9749365f,EMP14607,MNTG-NPLN-802-ROM-0,transfer,2838.97,,,IT94L4145168301618850187780470,IT83T7523456574673023092813,9545.22,Salary payment Jan,2087-01-05T17:52:48
